30000 60000
22291 4533 54
15450 9713 91
10875 4380 77
25265 9512 87
23896 22041 10
2105 14006 26
24620 2171 60
16267 9860 48
28417 738 52
25698 27312 91
11216 13565 57
6475 11339 60
25476 29689 59
25275 4663 17
19530 17255 11
12769 19041 21
3010 5553 55
15606 4890 83
24688 29725 50
12729 21379 45
29186 16532 61
19648 3549 20
11799 28405 41
1793 6190 66
16268 21828 38
9196 13296 67
11079 2335 49
6240 27122 75
7956 29651 70
28047 11991 39
25252 3948 27
27060 2933 50
27593 16728 38
27109 26651 81
5338 7000 79
27164 16505 89
1658 29809 63
1610 6560 45
26841 23847 15
3839 16368 56
21077 14757 42
17261 7616 39
28213 6256 40
16994 9094 90
7661 4268 48
9319 1790 76
18921 8132 57
21107 24037 66
2019 12983 71
20837 27554 60
28440 23398 65
23942 15075 64
29841 8508 30
8992 24831 75
7295 23649 84
12758 18769 30
19253 24515 99
10748 8540 100
22493 11548 97
27849 19364 38
14227 20447 10
28142 22341 20
2668 22246 26
24873 6312 95
15870 20796 64
13296 11572 16
21661 16058 97
18107 5652 22
13017 25474 61
2140 12266 38
6044 14882 48
9492 3360 46
6832 26686 84
15118 1217 93
25603 11958 39
5625 27341 27
9623 19316 67
21003 4249 48
938 913 73
2147 10955 92
21203 10761 57
7721 14345 40
22264 6845 49
2367 28545 36
23990 18405 54
10514 15911 92
27846 16080 79
10759 19640 80
7642 367 79
3969 6064 40
11736 21396 74
2912 27457 11
4202 9983 84
18515 21555 56
28255 15274 52
27450 9208 76
7912 19374 81
19009 13427 17
19527 18549 12
7396 26651 43
28654 25986 32
23234 19473 54
7162 2732 46
17061 9305 93
19866 11520 88
21689 16927 33
11567 10172 99
24451 12950 67
22318 22453 49
16863 22075 100
25152 18524 55
12502 25852 37
28101 1104 69
5835 12618 33
10192 19254 94
15576 13642 17
10333 11863 41
24643 28421 50
23291 14468 93
10857 21946 52
21077 20843 68
23159 157 10
2361 11266 92
16979 7194 39
20914 20138 43
19301 20112 43
23253 10934 32
2926 725 36
16330 24158 28
10263 16951 91
22851 18639 23
18146 25125 29
20250 4282 27
28712 7383 43
14662 10296 97
22104 14427 66
4076 27709 63
2426 9344 52
4413 11294 18
20054 3572 89
21739 15289 71
14346 10083 98
8668 17447 95
2704 3956 36
5169 9857 17
20655 6373 29
18687 27255 95
14108 12539 80
15294 1888 32
8159 15349 94
13572 2744 42
26951 27812 59
13599 20773 55
28567 3646 22
8124 19783 78
15124 4436 83
25144 4883 44
7239 15949 69
9116 13146 90
8439 3716 99
17042 5121 76
7194 18548 76
3846 17961 35
18503 18212 80
24359 6002 70
19255 6213 71
1511 998 63
2988 26536 58
20113 21342 11
18301 6776 53
19205 3639 58
12247 25005 59
1533 8826 12
27652 8940 36
18658 25805 28
12091 3715 11
18763 14185 51
4830 26173 68
26184 21603 54
28095 23948 37
17310 17037 55
26620 18515 94
2648 16741 14
15061 19285 53
25873 3155 85
15511 27298 78
13477 13210 52
24759 1772 64
25945 10699 95
24930 12992 63
28847 21413 18
27035 8216 100
26649 14193 24
10468 14553 99
8184 16283 40
919 10564 10
18876 6473 72
3461 27337 71
4311 15897 61
9371 2173 82
8056 28060 67
3965 3367 37
29999 3104 45
18656 5920 79
22352 14991 16
16755 29004 16
12674 10609 51
17762 6480 67
16538 24984 22
16720 5910 48
8942 29531 49
12735 618 54
23591 29290 75
22914 16148 98
13008 2968 37
14901 6926 32
5805 22466 40
18329 8653 15
26353 29328 11
18841 8494 41
16875 23980 63
5130 18997 38
22108 4684 39
18973 14682 72
27940 14576 41
9056 17850 84
24110 4248 94
2383 15852 73
11464 2446 54
24595 12596 22
218 24933 94
25323 24960 56
14805 11741 64
12429 18629 32
21423 17306 53
1260 28861 96
21279 6928 81
19475 2273 48
18850 2338 60
4361 10663 19
17479 14745 97
6779 14424 97
11223 18405 69
8438 21021 87
7861 19638 51
7088 19708 72
1409 11488 69
24529 24885 79
1076 18939 33
13044 28546 98
24604 17643 83
20561 17012 50
13785 14102 47
22033 4763 50
7254 1976 90
18421 4753 86
17102 14816 95
817 6596 95
23226 19227 57
28590 16165 53
5034 25540 34
23662 6657 88
12154 19743 75
2214 24940 30
20524 26081 100
19672 7794 75
576 29538 83
5640 12850 40
25434 19592 23
11828 26620 30
6177 18706 65
11340 19931 11
22805 17151 90
4333 9551 68
29014 21969 61
8619 27861 30
21521 9011 87
6483 13601 71
16275 29473 18
22244 27413 24
26774 19677 54
29258 735 93
21496 2452 95
6764 22856 44
701 12605 63
41 10008 80
24713 26013 39
18841 583 84
6534 13966 89
27814 26239 65
26712 29450 71
5045 7996 67
5283 19423 95
24760 14112 63
9481 29721 44
15075 28473 26
2163 29845 46
20624 5143 38
21897 20766 48
15620 583 68
5573 11506 23
22574 14368 68
23261 3679 44
19475 26846 97
6386 3736 73
16618 24707 69
17243 29823 16
9236 21218 77
13431 10458 94
5575 19205 26
3452 23009 75
26837 21009 84
23948 15575 79
21140 23730 24
2245 23829 40
26066 10936 11
2524 29810 42
28539 26174 62
13712 25692 83
8058 13098 17
29974 2087 79
13092 12857 21
6006 10816 53
2452 18465 30
15952 21978 47
26192 29683 87
1747 3945 10
25477 21910 67
5444 258 62
16233 184 43
7622 6762 13
17425 26417 29
10679 6633 23
24122 12415 17
22089 19322 44
18268 4563 54
20679 27987 95
17041 21645 71
14367 25349 99
1030 23088 63
18955 1218 99
24874 6334 19
24839 8845 69
10380 19129 52
8493 363 12
12465 22303 61
8252 11924 45
656 27512 95
13203 912 15
24181 13518 47
11175 19382 12
19700 10045 99
23911 15708 80
24886 7533 82
20139 21972 47
9243 24578 93
3852 21851 78
5775 15133 87
25679 10608 65
26473 782 59
7332 3933 65
10569 3624 85
21559 19084 54
1402 7888 11
29219 13824 28
5018 15159 18
29234 9869 25
10040 18319 86
3931 1632 44
9046 8554 30
14925 25561 89
22307 25927 72
22227 9469 66
27193 11911 78
16537 19917 76
12324 15285 41
118 13594 42
21782 2773 77
3577 23850 18
13732 24198 85
24869 251 46
441 24402 70
22643 26266 26
20014 3743 46
14656 18655 60
9996 13414 37
5038 21556 22
26588 20202 30
14264 24789 98
15449 21799 79
20155 14657 100
6154 26539 44
24127 19117 48
22797 13264 84
24540 14292 53
859 25951 70
14510 18614 35
27404 14818 50
11381 743 18
14961 28025 61
12261 14033 52
16876 15885 99
16787 14771 20
26278 23058 65
16764 10490 57
3071 12548 66
13279 17465 71
7313 6164 70
19460 18898 31
23126 4677 40
5387 12606 85
8181 5038 56
1276 25189 20
23315 20283 40
23075 13609 61
2655 12616 32
23136 15601 71
14391 15049 57
13074 1824 100
2804 13172 22
29693 6231 65
21447 22660 32
24619 24867 97
1817 5634 28
3033 247 96
9560 29553 52
3288 23431 77
27604 26333 51
15358 16772 44
17065 26104 45
25237 23229 77
12018 29773 74
29309 18446 32
22885 10044 38
22336 25344 94
21460 24343 63
27927 2031 12
8412 1911 38
12536 7030 54
12890 8744 54
18272 10322 81
15312 7424 77
23081 9798 10
26687 4439 100
4422 912 46
15118 16707 11
3087 2635 59
6550 27778 67
26864 18655 89
6818 12544 49
12023 17210 18
16315 28470 100
18061 24623 90
21217 16367 84
17011 19373 21
16555 16624 29
24671 16114 31
13307 15333 14
15675 4656 83
2408 13627 86
9902 13713 75
25518 4251 43
70 1928 55
1807 6819 93
18506 19207 20
28236 1767 65
12618 13182 50
18594 18002 50
4579 8708 61
16299 15951 15
13691 28631 93
2892 3189 95
15759 6680 59
24263 28968 64
28861 18306 17
28603 770 37
7305 19798 50
3513 6094 52
28796 11685 80
20662 15595 11
7062 14359 15
18026 1324 67
3150 18559 98
4795 26741 48
11730 14679 36
4438 11295 73
24147 879 54
28553 23843 12
1989 15221 14
18141 20695 18
14742 21377 89
20827 11986 63
7937 19473 69
1519 26498 51
14274 28322 77
23367 18290 79
16298 9789 31
16833 4251 43
27046 19756 54
13794 9354 77
28600 13744 94
25463 4583 39
26708 14576 81
14000 2504 47
19105 6910 40
25328 16392 32
25633 24176 49
23559 15398 92
29121 20215 28
7659 25754 84
6205 10086 76
16718 18988 44
10628 18082 37
13321 25279 73
13630 12199 28
2794 26239 37
9648 16960 89
28828 7472 86
4487 824 86
1319 10371 68
7935 22902 90
10915 1547 10
20872 28447 15
6177 15018 69
5013 10612 84
17457 22069 54
13958 14421 41
4392 16737 71
15072 11238 24
27163 16725 46
18666 28153 69
21917 3292 12
17052 20976 57
23786 6414 23
1169 4690 100
5034 16180 13
25945 4245 17
15085 25490 72
6694 16276 38
6775 9750 41
25284 16971 67
21053 27419 42
15618 16978 71
28814 700 23
11968 17209 45
11902 605 75
27532 26155 74
16064 7830 67
859 12850 82
5634 21964 84
4709 28167 59
9286 16823 99
12485 28023 15
11977 2542 78
9543 19118 99
10337 21418 39
27107 10504 88
17054 5648 51
27436 21167 28
3212 3583 24
16242 27800 82
27833 21884 28
28033 6630 74
2904 23096 50
20634 6021 75
29058 22756 29
12773 6381 61
17180 28168 33
19401 3725 25
7599 6479 16
16966 3077 21
28409 26970 51
10116 2742 26
3140 19227 86
15911 2108 24
29748 25961 100
5710 15335 43
18238 13301 16
1019 28604 45
11616 27404 48
27683 21317 20
20044 14020 25
23056 22867 71
25802 28929 53
24790 15182 84
1358 20183 82
3684 18477 36
308 17093 23
23497 17046 41
8277 29852 75
13212 28523 32
3730 14235 56
10439 16717 89
25807 15871 31
7762 20777 40
2588 11335 100
6318 2178 55
21408 10928 76
2629 11546 28
23728 22730 63
5931 14170 99
8877 22014 100
25978 3494 57
27295 28476 60
11546 16610 86
25019 10792 78
10613 21948 65
25767 5023 80
5778 2328 81
22282 13481 30
19378 21796 67
2642 15920 96
11547 29964 15
19604 22713 13
23531 2356 64
10902 10366 20
13629 28019 41
17963 16435 66
19091 22261 26
19537 12781 10
29017 19775 76
14520 19296 52
2965 5447 74
18143 24104 35
933 19078 45
20309 3527 30
19600 17291 99
3650 28380 65
1769 4049 27
11439 5880 45
1067 19229 61
13769 15657 59
5638 26534 88
28110 2297 81
20114 28885 19
13476 11053 75
16567 2543 76
26334 29457 43
24459 14758 20
13566 20504 10
2599 15483 54
7524 3006 85
17168 312 84
6119 16292 47
25676 23031 50
2185 18753 11
1269 28064 19
20322 11743 66
4318 26036 11
23673 3487 17
28833 27908 71
17218 24689 55
1119 12412 63
6858 15065 55
26996 20253 98
7920 14915 66
22498 981 27
20425 10994 71
17546 12317 32
24653 7956 23
5945 3875 89
19976 17119 53
578 22542 10
19312 3169 64
16144 5507 10
29694 4072 50
13156 2942 66
10323 18452 30
25250 18303 63
5712 11890 54
9204 23158 63
19421 25268 59
753 20518 73
16492 7930 74
5342 20767 13
19150 19962 11
1743 27086 41
15597 24427 93
27815 1060 59
17513 10295 30
29775 5637 34
28408 15754 25
12955 11017 82
13285 10311 12
21328 29304 91
13051 19173 70
20489 13581 70
20412 23161 59
4684 13954 16
18503 16472 53
684 3015 32
18132 7377 81
20336 26574 16
26107 16997 23
5281 19652 72
20765 9370 56
14113 11315 10
16338 24678 75
3302 22002 76
9435 22115 100
29216 10243 76
9924 6643 46
29057 23048 23
17473 11027 71
9280 1018 57
11912 24990 96
2577 13914 38
25352 4054 92
18557 12121 44
2704 1228 91
2021 22721 71
25364 2352 91
9280 13216 10
21999 572 87
2224 12441 93
20020 16999 92
206 17368 32
27243 2528 61
11570 11080 36
21466 667 87
29353 28067 36
23293 16835 63
13358 6343 65
5489 7470 63
14003 18216 71
977 1997 25
7219 16562 96
14704 26662 44
25885 20227 42
22929 18939 23
14373 20233 92
6315 20339 11
28637 16874 54
23624 17134 82
13523 1727 86
7191 5033 76
9002 14189 36
18342 13069 81
10918 27533 100
9749 20984 99
7030 17828 25
14079 6745 12
18144 19033 72
9321 2735 71
21831 8837 65
8306 3974 58
14157 18714 51
2511 1965 80
29232 17480 84
19769 9152 35
1679 20681 59
7485 22465 70
22615 3285 75
27717 620 80
12908 12687 77
18400 18902 88
4727 8297 36
1684 15222 20
4404 27057 67
20474 24276 20
29235 1023 27
14623 20430 42
21559 16277 22
14707 16232 27
22471 6923 16
29081 3752 57
16615 14667 43
9315 2824 97
663 2249 22
5595 14080 10
10808 23477 68
390 25475 43
18942 1344 51
5150 19320 50
1906 9162 72
9746 17048 44
22381 27383 38
15941 15541 99
11715 17293 68
25987 26219 13
583 164 25
7920 26703 23
27684 29439 61
2454 10898 59
21787 20676 80
1253 25472 100
13715 16206 11
8736 615 85
13191 23034 47
6092 3823 39
3274 14749 15
22966 4922 10
9780 21719 61
20278 7355 77
13041 8672 45
4069 13918 49
9479 18868 70
15381 28338 99
26648 11231 69
29316 11108 13
5630 7370 91
29171 21026 17
4206 21332 82
26655 29568 54
9281 21674 61
14536 11875 86
27393 2261 17
3776 21734 31
8296 24579 79
7035 798 28
27770 25850 33
8842 25895 72
19761 24745 63
21868 15787 27
25389 1145 41
9475 10978 40
13657 19011 36
8905 2547 23
19944 22123 43
4256 21879 60
27982 7050 84
24870 5158 32
12272 9062 98
12175 13468 97
4860 10438 89
9560 3937 42
21867 28135 28
9745 27382 95
23979 10233 93
13330 15255 70
23423 6868 36
10126 15064 81
13303 8236 60
1532 26938 84
1676 4307 27
12158 14392 88
24443 1649 75
29025 17316 54
3441 6064 66
4267 21101 61
22285 8462 74
21088 7952 66
1216 24838 40
2944 7727 16
4487 13101 53
20035 12602 66
10372 15685 22
2372 23174 23
1318 10499 19
24863 27778 97
4224 22146 54
6109 23425 40
14697 2669 77
3907 29011 51
27574 8662 27
27178 14726 47
3958 18312 77
19638 6063 99
23611 12485 45
14171 17105 63
11444 11647 20
27812 22482 41
6936 4170 40
27742 26088 88
9592 21709 90
3921 16127 30
2842 5622 11
6809 12418 87
20612 19740 38
9567 26252 39
26400 18520 15
13553 16389 87
3225 4902 94
7093 19392 26
13308 27207 49
421 21913 38
19501 462 14
13818 19728 80
22998 9774 97
13467 5647 86
5264 7881 81
8327 7142 58
18888 24621 12
5951 7117 43
4608 18983 62
9230 11544 15
5761 18633 27
23181 26538 79
719 10735 80
12272 14802 34
20837 13320 25
25063 29914 42
23110 18276 85
2203 26182 73
24834 15340 51
5494 18598 28
29591 16662 60
24025 7958 90
16109 4093 63
27220 7774 63
18407 18116 25
8377 15505 64
13409 18402 23
9846 15506 35
13174 29926 39
14881 6162 12
13713 25483 74
16663 26843 59
20151 391 50
242 19038 60
3220 14530 91
11681 26408 79
4418 3276 35
19792 28427 15
12137 16376 33
14692 16083 68
22429 20862 62
15293 1949 77
15186 10553 72
29457 26727 39
1576 6604 46
19812 24122 52
13963 29232 48
9672 23436 16
8195 14028 15
27984 4911 94
6918 21298 78
8607 19339 69
28883 5684 37
16186 5616 96
18429 14378 77
5428 25045 87
19231 29327 73
20469 20243 83
85 26652 63
10611 26281 70
13352 23067 85
21514 7162 78
21446 22570 54
8593 23004 84
925 18272 45
23819 23038 42
23894 3978 13
6529 28115 90
16189 19897 33
368 19921 49
14700 9712 41
25820 29444 42
7374 27480 12
7248 7059 40
11806 14842 89
8819 17683 100
22420 17641 99
2190 3269 37
15310 21830 38
16208 8832 59
24968 27447 35
12309 19515 95
10584 14489 12
2245 5598 84
10183 572 100
21644 12590 29
6373 23187 31
17100 1921 49
8342 20392 13
29347 22254 81
26420 24000 65
29634 22663 63
14591 331 43
18074 19648 79
6841 962 100
13357 364 56
12363 1171 58
17561 12107 22
23590 17372 57
25923 6240 96
7582 21586 17
7597 28373 93
19162 20985 32
19488 28273 11
27225 17598 52
17085 12012 50
3531 23233 91
13432 21200 50
10193 29743 71
20690 1457 22
28956 21188 40
17297 9693 100
25975 22042 23
27249 11117 64
22238 18681 44
28058 11823 39
14425 13736 48
6521 7865 66
10895 27182 96
24460 8047 22
1663 5833 10
17772 23125 19
23037 4490 58
16962 15926 83
2105 15063 15
4661 10682 44
3595 29026 48
18930 20304 57
6988 19936 60
10173 25761 85
21695 652 27
24192 986 81
639 2522 65
9847 22078 15
15078 29337 26
12656 17425 32
15486 425 43
10309 18461 13
12808 13412 66
19104 17052 70
26040 604 53
21021 23556 35
7432 20821 76
29448 19231 65
5714 7471 28
26935 27030 82
16246 18983 56
14555 17287 57
13089 16498 33
678 988 66
8050 20040 28
1719 5333 91
28123 19655 96
7540 1554 75
5016 11897 48
20595 4346 89
18903 225 68
3319 20888 41
18078 14587 86
28591 13227 11
1296 11188 100
566 13213 15
29567 16705 88
20196 17701 86
12090 13141 32
7722 19274 95
8967 2807 34
27636 9068 95
14248 16509 100
29176 23288 55
20478 28602 55
10023 626 18
25522 13615 47
24175 29951 22
6256 20445 10
6571 11643 93
8183 3291 39
9700 22331 44
7840 16392 94
29605 27037 78
2078 14625 41
22139 6290 51
1675 3611 100
24533 10602 15
26079 2865 74
26208 18078 34
29461 10978 19
340 29642 67
18420 10855 49
27106 24635 55
9950 18857 35
4910 5340 14
12820 12968 11
29322 8433 83
16739 21755 44
13893 22361 36
1026 23539 97
20800 13171 87
4376 3524 59
16987 17015 16
17657 29731 99
19672 23612 39
22707 26301 71
2 23110 99
28193 26955 63
3165 24872 57
26347 19953 99
26384 25346 92
19395 16609 12
25860 3633 30
5415 1913 70
13368 20892 27
27354 7132 57
26300 18715 41
